lat#lng#popup#
33.518589200#-86.810356700#Birmingham, AL, USA#
33.448377100#-112.074037300#Phoenix, AZ, USA#
37.871592600#-122.272747000#Berkeley, CA, USA#
39.728494400#-121.837477700#Chico, CA, USA#
38.544906500#-121.740516700#Davis, CA, USA#
34.052234200#-118.243684900#Los Angeles, CA, USA#
36.600237800#-121.894676100#Monterey, CA, USA#
33.684567300#-117.826504900#Irvine, CA, USA#
32.715738000#-117.161083800#San Diego, CA, USA#
37.774929500#-122.419415500#San Francisco, CA, USA#
34.420830500#-119.698190100#Santa Barbara, CA, USA#
39.739235800#-104.990251000#Denver, CO, USA#
41.308274000#-72.927883500#New Haven, CT, USA#
38.907192300#-77.036870700#Washington, DC, USA#
29.651634400#-82.324826200#Gainesville, FL, USA#
27.950575000#-82.457177600#Tampa, FL, USA#
33.748995400#-84.387982400#Atlanta, GA, USA#
21.306944400#-157.858333300#Honolulu, HI, USA#
41.878113600#-87.629798200#Chicago, IL, USA#
42.045072200#-87.687696900#Evanston, IL, USA#
39.768403000#-86.158068000#Indianapolis, IN, USA#
41.700190800#-86.237932800#Notre Dame, IN 46556, USA#
41.586835300#-93.624959300#Des Moines, IA, USA#
39.115531400#-94.626787300#Kansas City, KS, USA#
38.252664700#-85.758455700#Louisville, KY, USA#
29.951065800#-90.071532300#New Orleans, LA, USA#
42.360082500#-71.058880100#Boston, MA, USA#
42.325089600#-72.641201300#Northampton, MA, USA#
42.280825600#-83.743037800#Ann Arbor, MI, USA#
42.331427000#-83.045753800#Detroit, MI, USA#
42.732535000#-84.555534700#Lansing, MI, USA#
44.977753000#-93.265010800#Minneapolis, MN, USA#
39.099726500#-94.578566700#Kansas City, MO, USA#
38.627002500#-90.199404200#St. Louis, MO, USA#
45.676997900#-111.042933900#Bozeman, MT, USA#
41.256536900#-95.934503400#Omaha, NE, USA#
36.169941200#-115.139829600#Las Vegas, NV, USA#
40.735657000#-74.172366700#Newark, NJ, USA#
40.357297600#-74.667222600#Princeton, NJ, USA#
40.220582400#-74.759717000#Trenton, NJ, USA#
42.652579300#-73.756231700#Albany, NY, USA#
40.712775300#-74.005972800#New York, NY, USA#
35.227086900#-80.843126700#Charlotte, NC, USA#
35.913199600#-79.055844500#Chapel Hill, NC, USA#
34.210389400#-77.886811700#Wilmington, NC, USA#
36.099859600#-80.244216000#Winston-Salem, NC, USA#
39.758947800#-84.191606900#Dayton, OH, USA#
41.499320000#-81.694360500#Cleveland, OH, USA#
39.961175500#-82.998794200#Columbus, OH, USA#
45.512230800#-122.658718500#Portland, OR, USA#
44.052069100#-123.086753600#Eugene, OR, USA#
40.440624800#-79.995886400#Pittsburgh, PA, USA#
40.807233700#-77.860888800#Penn State University, College Township, PA, USA#
36.548434000#-82.561818600#Kingsport, TN, USA#
35.149534300#-90.048980100#Memphis, TN, USA#
36.162663800#-86.781601600#Nashville, TN, USA#
30.267153000#-97.743060800#Austin, TX, USA#
32.776664200#-96.796987900#Dallas, TX, USA#
29.760426700#-95.369802800#Houston, TX, USA#
33.577863100#-101.855166500#Lubbock, TX, USA#
29.424121900#-98.493628200#San Antonio, TX, USA#
44.475882500#-73.212072000#Burlington, VT, USA#
38.029305900#-78.476678100#Charlottesville, VA, USA#
43.073051700#-89.401230200#Madison, WI, USA#
43.038902500#-87.906473600#Milwaukee, WI, USA#
40.760779300#-111.891047400#Salt Lake City, UT, USA#
47.606209500#-122.332070800#Seattle, WA, USA#
47.658780200#-117.426046500#Spokane, WA, USA#
